"VI name";;"string type";;"Key";;"English";;"Russian"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PBATCH_last_status";;"Last Status:";;"(טי)Last Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PBATCH_last_op";;"Last OP:";;"(טי)Last OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PBATCH_batch_no";;"Batch No:";;"(טי)Batch No:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_time_start";;"Start:";;"(טי)Start:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_last_status";;"Last Status:";;"(טי)Last Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_operation";;"OP:";;"(טי)OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_filter_columns.BoolText";;"FILTER REALS";;"(טי)FILTER REALS"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OPRTN_unfilter_columns.BoolText";;"CLEAR";;"(טי)CLEAR"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_type";;"Config:";;"(טי)Config:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_time_start";;"Start:";;"(טי)Start:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_CFG_op_filter";;"OP:";;"(טי)OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_time_start";;"Start:";;"(טי)Start:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_OP_filter";;"Audit OP:";;"(טי)Audit OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_AUDIT_status_filter";;"Audit Status:";;"(טי)Audit Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OKNOK_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OKNOK_time_start";;"Start:";;"(טי)Start:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OKNOK_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_OKNOK_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_time_start";;"Start:";;"(טי)Start:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_time_end";;"End:";;"(טי)End:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_to_OP";;"To OP:";;"(טי)To OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_REWORKS_from_OP";;"From OP:";;"(טי)From OP:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_end";;"To:";;"(טי)To:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_start";;"From:";;"(טי)From:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_PACE_time_start";;"Start:";;"(טי)Start:"
